;oikein;prs-taiv-muoto;partisiippi liittomuodossa;kieltoverbi;infinitiivi;partisiippi ei liittom.;minen;muu teonnimi;hukassa
syönyt;1;;1;;;;;;
lihaa;0;;;;;;;;1
tietääkseni;1;;;;1;;;;
viisi;0;;;;;;;;1
kertaa.;0;;;;;;;;1
Kolmesti;0;;;;;;;;1
niin;0;;;;;;;;1
tapahtui;1;1;;;;;;;
tarkoituksella,;0;;;;;;;;1
työn;0;;;;;;;;1
takia,;0;;;;;;;;1
ja ;0;;;;;;;;1
kerran;0;;;;;;;;1
vahingossa.;0;;;;;;;;1
-- Se,;0;;;;;;;;1
että ;0;;;;;;;;1
karttaa;1;1;;;;;;;
lihaa;0;;;;;;;;1
vuoden ;0;;;;;;;;1
ajan;0;;;;;;;;1
ei;1;;;1;;;;;
toki;0;;;;;;;;1
ole;1;;1;;;;;;
kummoinen;0;;;;;;;;1
saavutus,;0;;;;;;;1;
mutta;0;;;;;;;;1
opettavaista;0;;;;;;;;1
se ;0;;;;;;;;1
on;1;1;;;;;;;
ollut.;1;;1;;;;;;
Olen ;1;1;;;;;;;
muun;0;;;;;;;;1
muassa;0;;;;;;;;1
alkanut;1;;1;;;;;;
arvostaa;1;;;;1;;;;
ketjuravintoloita,;0;;;;;;;;1
havainnut;1;;1;;;;;;
aihepiiriin ;0;;;;;;;;1
liittyvien;1;;;;;1;;;
käsitteiden;0;;;;;;;;1
monimutkaisuuden,;0;;;;;;;;1
tottunut;1;;1;;;;;;
lukemaan;1;;;;1;;;;
tuoteselosteita;0;;;;;;;1;
ja ;0;;;;;;;;1
oppinut;1;;1;;;;;;
valitsemaan;1;;;;1;;;;
kaupan;0;;;;;;;;1
hyllyltä;0;;;;;;;;1
juuri;0;;;;;;;;1
sen;0;;;;;;;;1
kasvispateen,;0;;;;;;;;1
joka;0;;;;;;;;1
maistuu;1;1;;;;;;;
aivan;0;;;;;;;;1
maksamakkaralta.;0;;;;;;;;1
Jokainen;0;;;;;;;;1
suomalainen;0;;;;;;;;1
ruokalehti;0;;;;;;;;1
on;1;1;;;;;;;
herännyt;1;;1;;;;;;
hehkuttamaan;1;;;;1;;;;
kasvisruokaa.;0;;;;;;;;1
ravintola;0;;;;;;;;1
kuin;0;;;;;;;;1
ravintola;0;;;;;;;;1
tarjoaa;1;1;;;;;;;
jo;0;;;;;;;;1
mietittyjä;1;;;;;1;;;
kasvisannoksia,;0;;;;;;;;1
ja ;0;;;;;;;;1
monet;0;;;;;;;;1
koko;0;;;;;;;;1
kansan;0;;;;;;;;1
ketjuravintolat;0;;;;;;;;1
ovat;1;1;;;;;;;
olleet;1;;1;;;;;;
valppaina:;0;;;;;;;;1
esimerkiksi;0;;;;;;;;1
Chico-ravintoloissa;0;;;;;;;;1
jokaiseen;0;;;;;;;;1
purilaiseen;0;;;;;;;;1
voi;1;1;;;;;;;
lihan;0;;;;;;;;1
sijasta;0;;;;;;;;1
valita ;1;;;;1;;;;
nyhtökaurapihvin.;0;;;;;;;;1
Trendikkyyteni;0;;;;;;;;1
on;1;1;;;;;;;
tuntunut;1;;1;;;;;;
mukavalta;0;;;;;;;;1
muttei;1;;;1;;;;;
yllättävältä.;1;;;;;1;;;
Niin ;0;;;;;;;;1
monet ;0;;;;;;;;1
järkisyyt;0;;;;;;;;1
puhuvat;1;1;;;;;;;
kasvissyönnin;0;;;;;;;1;
puolesta.;0;;;;;;;;1
mutta;0;;;;;;;;1
toisaalta:;0;;;;;;;;1
syöminen;0;;;;;;1;;
ei ;1;;;1;;;;;
tosiaankaan;0;;;;;;;;1
ole;1;;1;;;;;;
vain;0;;;;;;;;1
järjen;0;;;;;;;;1
asia.;0;;;;;;;;1
