;oikein;prs-taiv-muoto;partisiippi liittomuodossa;kieltoverbi;infinitiivi;partisiippi ei liittom.;minen;muu teonnimi;hukassa;;;
takia,;FALSE;;;;;;;;1;;1;0
ja ;FALSE;;;;;;;;1;;1;0
kerran;FALSE;;;;;;;;1;;1;0
vahingossa.;FALSE;;;;;;;;1;;1;0
-- Se,;FALSE;;;;;;;;1;;1;0
että ;FALSE;;;;;;;;1;;1;0
karttaa;TRUE;1;;;;;;;;;0;1
lihaa;FALSE;;;;;;;;1;;1;0
vuoden ;FALSE;;;;;;;;1;;1;0
ajan;FALSE;;;;;;;;1;;1;0
ei;TRUE;;;1;;;;;;;0;1
toki;FALSE;;;;;;;;1;;1;0
ole;TRUE;;1;;;;;;;;0;1
kummoinen;FALSE;;;;;;;;1;;1;0
saavutus,;FALSE;;;;;;;1;;;1;0
mutta;FALSE;;;;;;;;1;;1;0
opettavaista;FALSE;;;;;;;;1;;1;0
se ;FALSE;;;;;;;;1;;1;0
on;TRUE;1;;;;;;;;;0;1
ollut.;TRUE;;1;;;;;;;;0;1
Olen ;TRUE;1;;;;;;;;;0;1
muun;FALSE;;;;;;;;1;;1;0
muassa;FALSE;;;;;;;;1;;1;0
alkanut;TRUE;;1;;;;;;;;0;1
arvostaa;TRUE;;;;1;;;;;;0;1
ketjuravintoloita,;FALSE;;;;;;;;1;;1;0
havainnut;TRUE;;1;;;;;;;;0;1
aihepiiriin ;FALSE;;;;;;;;1;;1;0
liittyvien;TRUE;;;;;1;;;;;0;1
käsitteiden;FALSE;;;;;;;;1;;1;0
monimutkaisuuden,;FALSE;;;;;;;;1;;1;0
tottunut;TRUE;;1;;;;;;;;0;1
lukemaan;TRUE;;;;1;;;;;;0;1
tuoteselosteita;FALSE;;;;;;;1;;;1;0
ja ;FALSE;;;;;;;;1;;1;0
oppinut;TRUE;;1;;;;;;;;0;1
valitsemaan;TRUE;;;;1;;;;;;0;1
kaupan;FALSE;;;;;;;;1;;1;0
hyllyltä;FALSE;;;;;;;;1;;1;0
juuri;FALSE;;;;;;;;1;;1;0
sen;FALSE;;;;;;;;1;;1;0
kasvispateen,;FALSE;;;;;;;;1;;1;0
joka;FALSE;;;;;;;;1;;1;0
maistuu;TRUE;1;;;;;;;;;0;1
aivan;FALSE;;;;;;;;1;;1;0
maksamakkaralta.;FALSE;;;;;;;;1;;1;0
Jokainen;FALSE;;;;;;;;1;;1;0
suomalainen;FALSE;;;;;;;;1;;1;0
ruokalehti;FALSE;;;;;;;;1;;1;0
on;TRUE;1;;;;;;;;;0;1
herännyt;TRUE;;1;;;;;;;;0;1
hehkuttamaan;TRUE;;;;1;;;;;;0;1
kasvisruokaa.;FALSE;;;;;;;;1;;1;0
ravintola;FALSE;;;;;;;;1;;1;0
kuin;FALSE;;;;;;;;1;;1;0
ravintola;FALSE;;;;;;;;1;;1;0
tarjoaa;TRUE;1;;;;;;;;;0;1
jo;FALSE;;;;;;;;1;;1;0
mietittyjä;TRUE;;;;;1;;;;;0;1
kasvisannoksia,;FALSE;;;;;;;;1;;1;0
ja ;FALSE;;;;;;;;1;;1;0
monet;FALSE;;;;;;;;1;;1;0
koko;FALSE;;;;;;;;1;;1;0
kansan;FALSE;;;;;;;;1;;1;0
ketjuravintolat;FALSE;;;;;;;;1;;1;0
ovat;TRUE;1;;;;;;;;;0;1
olleet;TRUE;;1;;;;;;;;0;1
valppaina:;FALSE;;;;;;;;1;;1;0
esimerkiksi;FALSE;;;;;;;;1;;1;0
Chico-ravintoloissa;FALSE;;;;;;;;1;;1;0
jokaiseen;FALSE;;;;;;;;1;;1;0
purilaiseen;FALSE;;;;;;;;1;;1;0
voi;TRUE;1;;;;;;;;;0;1
lihan;FALSE;;;;;;;;1;;1;0
sijasta;FALSE;;;;;;;;1;;1;0
valita ;TRUE;;;;1;;;;;;0;1
nyhtökaurapihvin.;FALSE;;;;;;;;1;;1;0
Trendikkyyteni;FALSE;;;;;;;;1;;1;0
on;TRUE;1;;;;;;;;;0;1
tuntunut;TRUE;;1;;;;;;;;0;1
mukavalta;FALSE;;;;;;;;1;;1;0
muttei;TRUE;;;1;;;;;;;0;1
yllättävältä.;TRUE;;;;;1;;;;;0;1
Niin ;FALSE;;;;;;;;1;;1;0
monet ;FALSE;;;;;;;;1;;1;0
järkisyyt;FALSE;;;;;;;;1;;1;0
puhuvat;TRUE;1;;;;;;;;;0;1
kasvissyönnin;FALSE;;;;;;;1;;;1;0
puolesta.;FALSE;;;;;;;;1;;1;0
mutta;FALSE;;;;;;;;1;;1;0
toisaalta:;FALSE;;;;;;;;1;;1;0
syöminen;FALSE;;;;;;1;;;;1;0
ei ;TRUE;;;1;;;;;;;0;1
tosiaankaan;FALSE;;;;;;;;1;;1;0
ole;TRUE;;1;;;;;;;;0;1
vain;FALSE;;;;;;;;1;;1;0
järjen;FALSE;;;;;;;;1;;1;0
asia.;FALSE;;;;;;;;1;;1;0
;;21;14;3;8;3;4;5;109;;;
